"dataset_generation_date","ceg_core_id","ceg_code","generation_type","fuel_source","plant_name","plant_state","system_description","unit_number","authorized_power_kw","test_released_power_kw","commercial_released_power_kw","energy_market","test_operation_start_granted_date","test_operation_release_date","test_dispatch_number","commercial_operation_start_granted_date","commercial_operation_release_date","commercial_dispatch_number","commercial_operation_release_year","is_northeast"
"2026-03-20","31404","EOL.CV.BA.031404-8.1","EOL","E�lica","Angico","BA","Sistema Interligado Nacional","1","2700","2700","2700","ACR","2015-08-01","2022-03-17","7082022","2015-09-01","2022-05-24","13922022","2022","True"
"2026-03-20","31404","EOL.CV.BA.031404-8.1","EOL","E�lica","Angico","BA","Sistema Interligado Nacional","2","2700","2700","2700","ACR","2015-08-01","2022-03-17","7082022","2015-09-01","2022-05-24","13922022","2022","True"
"2026-03-20","31404","EOL.CV.BA.031404-8.1","EOL","E�lica","Angico","BA","Sistema Interligado Nacional","3","2700","2700","2700","ACR","2015-08-01","2022-03-17","7082022","2015-09-01","2022-05-24","13922022","2022","True"
"2026-03-20","31434","EOL.CV.BA.031434-0.1","EOL","E�lica","Arapap�","BA","Sistema Interligado Nacional","1 e 2","4","4000","4000","ACR","2015-06-06","2019-08-23","","2015-08-01","2019-11-21","","2019","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","1","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-15","35332020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","2","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-22","36172020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","3","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","4","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","5","2350","2350","2350","Fora do ACR","2020-11-15","2021-02-26","5102021","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","6","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","7","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","8","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
"2026-03-20","37001","EOL.CV.BA.037001-0.1","EOL","E�lica","Ararinha Azul","BA","Sistema Interligado Nacional","9","2350","2350","2350","Fora do ACR","2020-11-15","2020-12-04","34092020","2020-12-15","2021-04-27","11572021","2021","True"
